Nome completo do funcionário,Data de nascimento do funcionário,CPF do funcionário,Matrícula do funcionário,Cargo do funcionário,Setor de trabalho do funcionário,Data de início da ausência,Data de término da ausência,Total de dias de ausência,Código Internacional de Doenças (CID),Nome da doença (descrição do CID),Data da consulta médica,CRM do médico responsável,Nome do médico responsável,Local da consulta médica (hospital/clínica),Tipo de atendimento (ambulatorial/internação),Tipo de ausência (afastamento total/parcial),Laudo médico (sim/não),Tipo de laudo (perícia/consulta),Tratamento recomendado (medicação/repouso/outro),Data da emissão do atestado,Data de recebimento do atestado pelo RH,Histórico de ausências médicas anteriores,Horário da consulta médica,Regime de trabalho (CLT/Estatutário),Data de retorno ao trabalho prevista,Data de retorno ao trabalho efetiva,Tipo de vínculo empregatício (efetivo/temporário),Justificativa do médico para o afastamento,Status da análise do pedido de ausência (aprovado/pendente/rejeitado)
Bárbara Almeida,1965-12-25,021.765.498-30,96746,Zootecnista,molestias,2024-05-14,2024-05-11,23,C0051,repudiandae,2024-01-17,92633-P,Maria Luiza da Paz,Novaes,internação,afastamento parcial,não,consulta,repouso,2024-03-31,2024-04-20,4,05:12:18,Estatutário,2024-01-12,2024-01-02,temporário,Saepe atque accusantium quis.,aprovado
Sr. Carlos Eduardo Pereira,1992-01-29,361.950.872-03,40616,Matemático,inventore,2024-04-25,2024-03-31,9,A0030,nemo,2024-05-11,64005-P,Leonardo da Rosa,Viana,ambulatorial,afastamento parcial,sim,perícia,outro,2024-05-14,2024-04-13,5,06:29:51,CLT,2024-05-20,2024-04-13,temporário,Adipisci ducimus ducimus ad.,rejeitado
Vicente Lima,1972-01-12,582.340.967-29,22916,Alergologista,voluptate,2024-03-31,2024-05-14,16,B0076,totam,2024-04-20,28092-S,Emanuel Souza,Silveira,internação,afastamento parcial,não,perícia,repouso,2024-03-21,2024-03-19,2,00:10:20,Estatutário,2024-06-16,2024-03-08,temporário,Unde illo libero.,pendente
Helena Martins,2002-02-15,532.970.681-59,35317,Especialista em agronegócios,nesciunt,2024-02-12,2024-01-31,11,D0080,corporis,2024-06-16,54884-S,Emanuel Cardoso,Ramos,ambulatorial,afastamento parcial,não,perícia,medicação,2024-02-05,2024-02-03,1,13:16:06,CLT,2024-05-05,2024-03-01,efetivo,Ad dicta eius.,rejeitado
Letícia Cardoso,2006-04-14,218.560.974-20,96940,Fundidor de placa de gesso,at,2024-02-19,2024-02-07,3,D0011,ipsa,2024-03-14,62907-S,Nathan Mendes,da Cruz,internação,afastamento parcial,não,perícia,repouso,2024-03-22,2024-05-30,3,03:02:34,CLT,2024-02-03,2024-04-15,temporário,Tenetur blanditiis praesentium laudantium quam fugit rerum alias.,pendente
Sra. Maitê Silva,1964-05-16,751.403.296-70,15335,Engenheiro petroquímico,nulla,2024-05-13,2024-02-20,18,B0017,sit,2024-01-27,61177-S,Srta. Luna Silva,Moraes - EI,ambulatorial,afastamento parcial,sim,perícia,repouso,2024-04-29,2024-02-28,1,22:08:55,CLT,2024-03-18,2024-06-07,temporário,Natus occaecati error recusandae dolore assumenda quis.,aprovado
Stella Vieira,1971-10-17,186.492.307-50,37170,Ascensorista,nam,2024-04-25,2024-05-26,16,C0068,velit,2024-06-05,84486-S,Amanda das Neves,Ramos Moreira S/A,ambulatorial,afastamento parcial,sim,consulta,medicação,2024-03-31,2024-04-08,1,15:57:53,CLT,2024-04-14,2024-03-22,temporário,Tempore possimus quasi iusto.,pendente
Dra. Maria Julia Alves,1989-02-25,089.451.327-32,61008,Operador de vídeo,blanditiis,2024-02-28,2024-06-09,5,B0027,nulla,2024-02-08,64880-S,Ryan Viana,Melo - EI,ambulatorial,afastamento total,não,consulta,outro,2024-06-05,2024-05-17,0,02:14:45,Estatutário,2024-01-04,2024-01-25,temporário,Quasi commodi rerum alias provident ab.,aprovado
Sr. Bruno Rocha,2006-05-17,461.352.807-08,97446,Engenheiro de manufatura,aliquam,2024-04-18,2024-04-16,21,B0011,optio,2024-04-15,62904-S,Dra. Alexia Gonçalves,Ramos - ME,ambulatorial,afastamento parcial,sim,consulta,medicação,2024-02-25,2024-05-24,2,03:57:05,CLT,2024-03-16,2024-06-05,efetivo,Earum blanditiis necessitatibus voluptatibus incidunt enim eligendi.,aprovado
Vicente Barros,1982-09-23,348.709.162-31,7878,Químico,hic,2024-04-15,2024-03-18,21,A0031,minima,2024-04-24,65051-P,Arthur Dias,Mendes,ambulatorial,afastamento total,não,perícia,outro,2024-04-04,2024-06-04,2,22:02:33,Estatutário,2024-06-07,2024-02-07,temporário,Amet eveniet repellendus consequuntur non.,rejeitado
Mariane Peixoto,1998-10-20,459.037.682-29,67246,Engenheiro de minas,dolores,2024-05-10,2024-03-27,28,A0072,quia,2024-03-08,45094-P,Dr. Vitor Hugo Alves,Peixoto e Filhos,internação,afastamento parcial,sim,consulta,repouso,2024-02-04,2024-01-12,0,19:03:42,Estatutário,2024-04-22,2024-06-12,efetivo,Placeat autem et consequatur sed corporis recusandae iste.,aprovado
Clara Gomes,1969-08-23,284.370.561-44,76113,Ferramenteiro,velit,2024-03-14,2024-05-11,23,D0013,eligendi,2024-05-31,93303-S,Luiz Gustavo Cunha,Melo S.A.,ambulatorial,afastamento parcial,não,consulta,repouso,2024-03-28,2024-02-26,2,13:13:23,CLT,2024-05-25,2024-03-13,efetivo,Quibusdam quidem provident eveniet ex.,aprovado
Larissa Novaes,1964-06-05,109.362.478-78,31527,Maquinista,delectus,2024-06-15,2024-01-06,3,B0099,ab,2024-03-07,96759-P,Fernando Dias,Novaes,internação,afastamento parcial,não,consulta,medicação,2024-01-03,2024-02-12,5,11:45:25,CLT,2024-03-14,2024-03-11,temporário,Nisi eos soluta ipsa eligendi accusantium veniam.,rejeitado
Ana Sophia Martins,1981-07-03,528.763.104-90,96810,Lamboteiro,nemo,2024-03-29,2024-01-29,24,B0042,temporibus,2024-01-26,57935-P,Helena Nascimento,Silva - EI,ambulatorial,afastamento total,não,consulta,repouso,2024-03-27,2024-06-15,4,12:51:58,Estatutário,2024-03-24,2024-02-05,efetivo,Eos est quod beatae deserunt cumque.,rejeitado
Maria Cecília Martins,1970-05-13,510.829.467-02,82,Transcritor,ut,2024-02-27,2024-03-30,28,A0086,cum,2024-01-09,99232-P,Gustavo Henrique Nunes,Santos - ME,ambulatorial,afastamento parcial,sim,consulta,outro,2024-04-22,2024-01-02,4,21:32:40,Estatutário,2024-02-02,2024-04-19,temporário,Aliquam cupiditate repudiandae vel.,pendente
Guilherme da Conceição,1979-12-04,489.157.603-01,14875,Marcador de luz,earum,2024-05-18,2024-01-13,6,D0091,in,2024-05-26,42810-P,Calebe Santos,Nunes,internação,afastamento total,sim,consulta,medicação,2024-03-26,2024-03-19,5,19:51:06,Estatutário,2024-04-30,2024-05-20,temporário,Fugiat similique natus voluptates illo libero sint.,pendente
Paulo Souza,2004-08-28,645.239.081-33,49413,Frentista,labore,2024-02-09,2024-04-13,27,C0049,illum,2024-02-22,33896-P,Nathan Almeida,Ribeiro,ambulatorial,afastamento parcial,sim,perícia,outro,2024-03-16,2024-03-31,5,08:18:23,CLT,2024-02-15,2024-04-18,temporário,Ipsam maiores quis beatae nobis animi vitae.,aprovado
João Monteiro,1991-01-09,158.934.276-37,28694,Leiloeiro,quos,2024-05-04,2024-04-29,12,D004,expedita,2024-01-03,71661-S,Marcos Vinicius Azevedo,Cardoso Costela Ltda.,internação,afastamento parcial,sim,consulta,outro,2024-03-24,2024-05-18,4,02:28:14,CLT,2024-04-10,2024-04-08,temporário,Delectus nobis molestias.,aprovado
Daniel Peixoto,1960-04-03,341.529.708-04,49180,Ator,dignissimos,2024-01-28,2024-04-17,14,A0085,perferendis,2024-05-24,23678-P,Lucas Gabriel da Cruz,Cunha,internação,afastamento total,não,consulta,repouso,2024-04-29,2024-03-02,2,23:08:22,CLT,2024-03-04,2024-01-12,efetivo,Eveniet reiciendis perferendis inventore fugiat explicabo.,pendente
João Vitor Silva,1961-10-20,691.075.832-30,25530,Técnico tributarista,facilis,2024-04-09,2024-05-06,5,D001,harum,2024-03-24,78941-P,Vitor Hugo Fogaça,Rodrigues Mendes Ltda.,ambulatorial,afastamento parcial,não,consulta,medicação,2024-01-13,2024-02-06,0,02:31:37,Estatutário,2024-03-16,2024-04-08,efetivo,Expedita assumenda quas distinctio quo odit.,pendente
Sophie Lima,2000-07-31,627.158.390-30,68752,Instrumentista musical,nemo,2024-01-03,2024-01-25,12,D0071,corporis,2024-04-28,89587-S,Otávio Farias,Costa da Cunha Ltda.,ambulatorial,afastamento total,não,perícia,medicação,2024-05-25,2024-04-23,2,00:50:37,Estatutário,2024-04-08,2024-04-08,efetivo,Ipsam reiciendis totam repellendus illo.,rejeitado
Sra. Stephany Almeida,2003-07-16,328.190.574-97,49307,Psicopedagogo,cupiditate,2024-05-12,2024-05-11,1,D0024,cumque,2024-03-05,97100-S,Gabrielly Pereira,Rocha Teixeira Ltda.,internação,afastamento total,sim,consulta,repouso,2024-03-18,2024-05-03,0,17:37:08,CLT,2024-05-29,2024-01-12,temporário,Saepe et quidem reiciendis suscipit eos vel harum.,pendente
Daniel Nunes,1977-08-02,257.638.901-59,80975,Armeiro,earum,2024-05-09,2024-06-02,11,C0080,possimus,2024-01-04,89790-P,Dra. Ana Lívia Sales,Azevedo,internação,afastamento parcial,sim,perícia,medicação,2024-06-03,2024-02-09,1,21:23:58,CLT,2024-03-11,2024-05-10,efetivo,Optio ullam et nihil reprehenderit sint.,pendente
Alana Lima,1999-04-23,906.138.425-70,66004,Cineasta,nihil,2024-05-02,2024-04-20,2,D0089,itaque,2024-04-06,97346-S,Benjamin Ferreira,Martins e Filhos,ambulatorial,afastamento total,não,consulta,outro,2024-01-13,2024-02-11,2,23:51:08,CLT,2024-03-21,2024-03-14,temporário,Nobis deleniti omnis facere ab temporibus.,pendente
Cauê Moraes,1965-08-10,671.839.024-04,90774,Bailarina,sint,2024-04-23,2024-06-17,4,C0095,rem,2024-02-13,42228-P,Benício Martins,Lima Ltda.,ambulatorial,afastamento total,sim,consulta,medicação,2024-05-31,2024-01-22,5,11:03:09,CLT,2024-05-23,2024-05-31,temporário,Aliquam accusantium nam repudiandae magni.,rejeitado
Danilo Ramos,1974-08-18,736.189.420-87,83981,Compositor,rem,2024-04-28,2024-05-23,3,A0018,quia,2024-03-10,16200-S,Alexia da Costa,da Cunha,ambulatorial,afastamento parcial,não,consulta,medicação,2024-02-20,2024-01-07,0,09:34:11,Estatutário,2024-05-22,2024-01-15,temporário,Expedita voluptatibus natus omnis at blanditiis.,aprovado
Maria Alice Araújo,1987-03-30,479.853.216-91,72932,Contador,dolor,2024-02-15,2024-04-07,18,C0062,fugiat,2024-04-02,10869-P,Ana Fernandes,Gomes S/A,ambulatorial,afastamento parcial,sim,perícia,repouso,2024-05-04,2024-04-12,0,16:26:08,Estatutário,2024-01-23,2024-04-21,temporário,Odit illo molestiae incidunt inventore ipsam.,aprovado
Breno Sales,1982-09-12,059.874.623-47,70801,Microfonista,eum,2024-04-17,2024-01-01,15,A0041,dolorem,2024-05-19,60690-P,Gabrielly Melo,Souza,ambulatorial,afastamento total,não,perícia,outro,2024-03-17,2024-05-24,0,18:04:11,Estatutário,2024-05-02,2024-06-01,temporário,Quo ut quas voluptate.,rejeitado
Sophie Rodrigues,1970-01-13,418.075.962-49,47305,Oculista,dolorem,2024-02-22,2024-05-13,6,C001,enim,2024-03-15,35300-P,Eloah Pereira,Pinto,ambulatorial,afastamento total,sim,consulta,outro,2024-03-05,2024-03-15,0,18:29:59,CLT,2024-01-05,2024-05-28,temporário,Quae cumque itaque fugiat perspiciatis quod.,rejeitado
Guilherme da Mata,1966-07-29,254.780.639-83,41276,Redator,ex,2024-01-20,2024-01-25,27,A0079,ducimus,2024-02-15,18319-P,Manuela Gonçalves,Nascimento Pires - ME,ambulatorial,afastamento parcial,sim,consulta,outro,2024-02-07,2024-03-28,4,06:37:54,CLT,2024-06-10,2024-03-18,efetivo,Voluptatem dicta quam.,rejeitado
Ian Almeida,1966-12-09,192.384.567-55,81373,Bioquímico,voluptatibus,2024-02-16,2024-01-04,13,C0049,ducimus,2024-04-11,25368-P,Amanda Sales,da Rosa,ambulatorial,afastamento parcial,não,consulta,outro,2024-01-18,2024-06-17,1,13:14:46,CLT,2024-03-30,2024-01-12,temporário,Doloremque deleniti repellendus sequi.,rejeitado
Alana Cunha,1995-06-21,458.179.620-20,32562,Mensageiro,doloribus,2024-04-23,2024-02-03,6,D0045,odit,2024-05-24,80715-P,Sr. Rodrigo Barbosa,Caldeira,internação,afastamento total,sim,perícia,repouso,2024-05-31,2024-06-07,3,21:05:01,Estatutário,2024-02-23,2024-03-08,temporário,Enim ducimus aliquam itaque ducimus possimus.,aprovado
Miguel da Paz,2006-03-31,182.049.735-60,80838,Engenheiro de processos,sequi,2024-02-25,2024-02-12,7,D0077,soluta,2024-05-26,40521-S,Srta. Luna Campos,Carvalho,internação,afastamento parcial,sim,perícia,medicação,2024-04-03,2024-05-13,1,06:35:17,Estatutário,2024-03-21,2024-02-25,efetivo,Dicta sunt explicabo blanditiis magnam dicta.,aprovado
Juliana Martins,1990-02-27,415.632.879-19,73802,Funileiro,maxime,2024-02-25,2024-01-22,1,B0076,adipisci,2024-01-25,50046-S,Gustavo Porto,da Luz,ambulatorial,afastamento parcial,não,consulta,repouso,2024-03-26,2024-05-28,4,11:28:09,Estatutário,2024-01-29,2024-04-01,temporário,Sunt ut ipsa repudiandae molestiae.,rejeitado
Sra. Eduarda da Mata,2000-06-14,970.216.384-69,48372,Timoneiro,repellendus,2024-02-25,2024-05-22,2,B0012,dicta,2024-02-02,83686-S,Marcos Vinicius Almeida,Teixeira,ambulatorial,afastamento parcial,não,consulta,medicação,2024-06-01,2024-04-06,0,19:56:50,CLT,2024-03-27,2024-04-05,efetivo,Voluptatum voluptatibus occaecati molestias.,rejeitado
Yasmin Alves,1988-11-16,028.379.165-95,46650,Vereador,suscipit,2024-03-13,2024-03-19,12,B002,ipsa,2024-03-03,18774-S,Bernardo Almeida,Melo,internação,afastamento total,sim,consulta,repouso,2024-03-12,2024-03-09,5,17:10:35,CLT,2024-02-23,2024-01-20,temporário,Fugit quis mollitia quam exercitationem voluptatem.,aprovado
Dr. Isaac da Mata,1975-11-07,248.507.361-90,71609,Barman,esse,2024-05-24,2024-03-19,30,D0069,consequatur,2024-06-01,19930-P,Eduardo Ramos,Ferreira Ltda.,internação,afastamento parcial,sim,consulta,repouso,2024-02-04,2024-05-08,2,08:59:35,CLT,2024-02-27,2024-04-14,temporário,Modi aut laudantium quaerat quisquam earum nobis.,aprovado
Sra. Letícia Farias,1988-10-27,160.952.347-43,94252,Comissário de bordo,sint,2024-05-13,2024-06-05,16,D0079,maxime,2024-02-03,15121-S,Vicente Fogaça,Rocha Ltda.,internação,afastamento total,sim,perícia,outro,2024-06-17,2024-01-04,0,08:12:22,Estatutário,2024-04-07,2024-03-01,efetivo,Aspernatur maiores porro possimus.,rejeitado
Dr. Juan Almeida,1995-07-04,026.391.785-12,95495,Metalúrgico,numquam,2024-05-25,2024-02-02,18,A0034,quis,2024-03-29,69638-S,Mariana Ramos,Pereira,ambulatorial,afastamento parcial,não,perícia,repouso,2024-04-10,2024-05-24,4,17:09:32,Estatutário,2024-02-10,2024-01-16,temporário,Reiciendis voluptatem eos nulla ullam.,aprovado
Sra. Gabriela Lima,1989-07-27,187.604.235-44,70299,Plastimodelista,consectetur,2024-05-08,2024-04-14,4,C0052,maiores,2024-01-11,72641-S,Luiz Henrique Rezende,Nascimento Nogueira S/A,internação,afastamento total,sim,perícia,repouso,2024-02-25,2024-06-06,5,20:18:10,Estatutário,2024-01-31,2024-04-10,efetivo,Quidem dolores alias.,rejeitado
Calebe Pereira,1991-06-27,683.024.751-90,38806,Profissional de comércio exterior,nam,2024-02-08,2024-03-11,17,B0075,iste,2024-06-08,86851-S,Ana Sophia Teixeira,Rocha,ambulatorial,afastamento total,não,consulta,repouso,2024-04-06,2024-03-25,3,15:59:03,CLT,2024-02-07,2024-02-21,efetivo,Debitis soluta debitis quasi illo exercitationem.,aprovado
Dr. Theo Pires,2005-04-09,590.761.432-34,8985,Sexólogo,corrupti,2024-03-27,2024-03-05,22,B0094,earum,2024-05-17,34049-P,Leandro da Cruz,da Luz e Filhos,ambulatorial,afastamento total,não,perícia,outro,2024-03-03,2024-01-07,2,19:22:34,CLT,2024-02-10,2024-02-27,efetivo,Impedit quos quisquam vero totam et veniam.,aprovado
Nicolas Duarte,2001-10-13,705.614.329-61,98083,Engenheiro químico,cupiditate,2024-01-22,2024-04-09,26,C0084,excepturi,2024-01-10,49531-S,Ana Julia Fogaça,Gomes da Cunha S.A.,internação,afastamento parcial,não,consulta,medicação,2024-01-24,2024-02-01,1,12:33:29,CLT,2024-02-07,2024-04-02,efetivo,Vel illo doloribus tempore cumque.,rejeitado
Danilo Almeida,1963-04-17,725.304.198-41,4976,Tecnólogo em irrigação e drenagem,quisquam,2024-06-03,2024-02-11,22,D0086,harum,2024-04-13,42540-S,Alexandre Freitas,da Cunha,internação,afastamento parcial,sim,perícia,outro,2024-02-02,2024-03-04,5,14:38:19,Estatutário,2024-02-03,2024-05-15,efetivo,Id omnis aperiam corrupti repellendus.,pendente
Ana Beatriz Almeida,1964-10-22,831.497.650-48,94580,Paginador,fugit,2024-01-31,2024-06-06,14,A0099,impedit,2024-03-24,62252-S,Dra. Heloísa Vieira,da Costa,ambulatorial,afastamento total,não,consulta,outro,2024-04-09,2024-06-15,0,15:13:48,CLT,2024-03-17,2024-01-25,efetivo,Hic nostrum blanditiis officiis quas consequuntur dolorem.,aprovado
Davi Martins,1987-07-28,059.138.742-50,80263,Promotor de eventos,omnis,2024-02-13,2024-04-20,11,A0033,saepe,2024-04-02,34691-S,Natália Caldeira,Lopes,ambulatorial,afastamento total,não,perícia,medicação,2024-03-27,2024-02-26,5,02:55:25,CLT,2024-04-01,2024-06-02,efetivo,Deleniti molestias perspiciatis quaerat voluptatibus dolor enim.,rejeitado
Arthur Silveira,1988-01-30,469.012.357-80,14625,Figurante,eos,2024-02-23,2024-01-18,3,B0012,quia,2024-03-21,17337-P,Isaac Barros,Pires Martins e Filhos,ambulatorial,afastamento parcial,sim,consulta,medicação,2024-04-13,2024-06-15,4,03:47:09,CLT,2024-04-16,2024-02-13,efetivo,Illo provident quaerat dolor.,aprovado
Maria Fernanda Rodrigues,1999-05-17,731.960.824-31,144,Serralheiro,voluptatibus,2024-05-26,2024-03-19,29,B0026,voluptatem,2024-05-29,62363-S,Amanda Dias,Cardoso Cardoso - EI,ambulatorial,afastamento parcial,sim,consulta,outro,2024-02-26,2024-06-06,1,11:23:29,Estatutário,2024-03-16,2024-01-14,efetivo,Aperiam sed vero cum mollitia iusto.,pendente
Antônio Moreira,1978-07-26,597.246.081-58,58711,Topógrafo,officia,2024-04-22,2024-05-12,5,D009,praesentium,2024-01-30,31778-S,Amanda Ramos,da Mata,ambulatorial,afastamento parcial,sim,consulta,repouso,2024-03-12,2024-04-04,3,23:33:46,CLT,2024-01-06,2024-01-08,temporário,Nulla suscipit ducimus recusandae.,pendente
Srta. Caroline da Rosa,1997-09-14,048.297.163-04,89502,Hostess,nihil,2024-05-04,2024-03-04,22,D0033,dolore,2024-03-20,74598-S,Leonardo Silveira,da Mota,ambulatorial,afastamento total,sim,perícia,medicação,2024-01-08,2024-06-12,4,12:02:52,Estatutário,2024-04-06,2024-04-05,efetivo,At quam assumenda provident.,aprovado
Vitor da Cunha,1999-02-02,482.039.561-06,75958,Encarregado de manutenção predial,laborum,2024-06-05,2024-04-05,30,A0087,quasi,2024-06-10,36635-P,Dr. Gustavo Henrique da Mota,Freitas das Neves e Filhos,internação,afastamento total,sim,consulta,medicação,2024-01-25,2024-02-25,3,06:48:07,Estatutário,2024-02-20,2024-01-04,temporário,Dolorum repudiandae atque mollitia repudiandae veniam quidem.,aprovado
Isabella da Costa,1967-05-25,280.731.694-87,7482,Intérprete,fugiat,2024-04-26,2024-01-21,25,D0048,numquam,2024-01-25,49264-P,Murilo Peixoto,das Neves Melo Ltda.,internação,afastamento total,não,perícia,outro,2024-01-07,2024-05-28,1,21:33:03,CLT,2024-04-18,2024-04-19,efetivo,Eligendi hic molestiae quis.,rejeitado
Brenda da Conceição,1987-11-22,324.508.167-71,23130,Rebarbador de metal,aliquam,2024-01-31,2024-06-03,24,D0011,expedita,2024-02-25,45583-P,Rebeca da Rocha,Teixeira,ambulatorial,afastamento total,não,consulta,medicação,2024-04-02,2024-03-10,3,04:57:03,Estatutário,2024-05-23,2024-06-10,temporário,Maxime veniam nihil.,rejeitado
Dr. João Pedro Cardoso,2002-04-28,107.395.628-86,60235,Marketeiro,rerum,2024-05-12,2024-02-04,11,A0056,deserunt,2024-04-28,65496-S,Milena Jesus,Azevedo,ambulatorial,afastamento parcial,não,perícia,medicação,2024-03-13,2024-04-21,5,18:16:40,CLT,2024-05-29,2024-05-04,temporário,Dolorem a molestias magni libero neque totam rerum.,pendente
Felipe Porto,1980-06-20,671.049.825-58,55759,Mãe social,dolores,2024-04-20,2024-01-26,18,B0011,ea,2024-04-03,63195-P,Yuri Freitas,da Cruz,internação,afastamento total,não,consulta,medicação,2024-02-13,2024-05-15,2,08:32:49,Estatutário,2024-05-15,2024-02-21,temporário,Saepe cum aperiam nemo adipisci facilis fugit.,rejeitado
Sra. Evelyn Araújo,2002-10-13,926.580.371-12,50535,Patinador,esse,2024-01-28,2024-06-16,18,C0065,voluptates,2024-03-24,49165-P,Maria Cecília Freitas,Aragão,internação,afastamento parcial,sim,consulta,outro,2024-05-16,2024-02-08,3,08:16:51,CLT,2024-05-17,2024-04-23,temporário,Unde laudantium aut eius provident sit fugit.,pendente
Dr. Gabriel da Rosa,2003-07-20,597.014.826-11,5328,Militar da Marinha,iste,2024-03-03,2024-03-04,21,D0060,sit,2024-04-08,21061-P,Srta. Isabel Rocha,Castro,ambulatorial,afastamento parcial,sim,perícia,repouso,2024-03-15,2024-01-22,4,09:37:46,CLT,2024-05-31,2024-03-16,temporário,Dolores deserunt exercitationem vel et eum.,pendente
Luiz Henrique da Cunha,1979-08-04,982.356.417-55,4529,Treinador,aspernatur,2024-01-05,2024-05-07,22,C0081,at,2024-05-23,49959-S,Antônio da Cruz,Silveira Cardoso - EI,ambulatorial,afastamento total,não,perícia,medicação,2024-01-17,2024-02-20,4,14:46:15,CLT,2024-06-11,2024-05-21,temporário,Occaecati quasi unde culpa.,aprovado
Felipe Gonçalves,1958-08-24,394.017.652-43,66141,Técnico em tratamento de água,officiis,2024-01-12,2024-01-10,29,D006,asperiores,2024-03-29,67894-P,Marcelo Castro,Silveira,ambulatorial,afastamento parcial,não,perícia,outro,2024-03-04,2024-05-21,0,14:19:08,CLT,2024-03-11,2024-04-10,efetivo,Consectetur veniam quo aperiam in.,pendente
Rodrigo Moraes,1973-12-05,635.942.710-99,28648,Guincheiro,autem,2024-01-02,2024-04-27,30,A0075,voluptate,2024-05-23,64643-P,Luigi Azevedo,Campos Porto - ME,ambulatorial,afastamento total,sim,perícia,repouso,2024-06-16,2024-02-28,3,05:41:08,CLT,2024-05-11,2024-02-10,temporário,Totam similique aperiam odio esse eius.,rejeitado
Gabriel Monteiro,1972-05-22,627.189.340-69,62595,Nutricionista,aperiam,2024-02-01,2024-05-06,16,C0079,numquam,2024-05-24,67332-S,Sr. Calebe Rodrigues,da Cunha e Filhos,ambulatorial,afastamento total,não,perícia,repouso,2024-04-02,2024-02-17,4,13:36:35,Estatutário,2024-02-11,2024-06-16,efetivo,Saepe perferendis cumque voluptates at.,rejeitado
Daniel Araújo,1975-09-01,380.974.215-50,22839,Intérprete e tradutor de língua de sinais,esse,2024-04-12,2024-01-27,5,B0092,eligendi,2024-01-12,18490-P,João Vitor Araújo,Lopes da Cruz - ME,internação,afastamento parcial,não,consulta,outro,2024-02-02,2024-02-23,2,07:25:45,CLT,2024-04-10,2024-02-13,efetivo,Occaecati ad temporibus nulla velit assumenda voluptate aspernatur.,rejeitado
